Euler Orientation: 100, 3333333333333121, 3333333333332330
Linear Acceleration: 0, 0, 0
Magnetometer: 220, 3333333333333021, 3333333333333212

Euler Orientation: 31, 3333333333333110, 3333333333332310
Linear Acceleration: 0, 1, 1
Magnetometer: 210, 3333333333333020, 3333333333333223

Euler Orientation: 13, 3333333333333120, 3333333333332221
Linear Acceleration: 1, 0, 1
Magnetometer: 122, 3333333333333012, 3333333333333303

Euler Orientation: 12, 3333333333333122, 3333333333332221
Linear Acceleration: 0, 0, 0
Magnetometer: 101, 3333333333333001, 3333333333333323

Euler Orientation: 0, 3333333333333113, 3333333333332222
Linear Acceleration: 0, 0, 0
Magnetometer: 31, 3333333333332332, 3333333333333323

Euler Orientation: 11210, 3333333333333121, 3333333333332202
Linear Acceleration: 0, 0, 0
Magnetometer: 21, 3333333333332323, 3333333333333323

Euler Orientation: 11203, 3333333333333121, 3333333333332130
Linear Acceleration: 0, 0, 0
Magnetometer: 11, 3333333333332331, 3333333333333333

Euler Orientation: 11121, 3333333333333123, 3333333333332122
Linear Acceleration: 0, 0, 1
Magnetometer: 0, 3333333333332321, 0

Euler Orientation: 11122, 3333333333333130, 3333333333332113
Linear Acceleration: 0, 3333333333333333, 3333333333333333
Magnetometer: 0, 3333333333332320, 3

Euler Orientation: 11103, 3333333333333123, 3333333333332110
Linear Acceleration: 0, 0, 1
Magnetometer: 3333333333333332, 3333333333332313, 10

Euler Orientation: 11102, 3333333333333130, 3333333333332112
Linear Acceleration: 0, 0, 0
Magnetometer: 0, 3333333333332313, 3

Euler Orientation: 11030, 3333333333333132, 3333333333332102
Linear Acceleration: 0, 0, 0
Magnetometer: 3333333333333333, 3333333333332312, 3

Euler Orientation: 11022, 3333333333333132, 3333333333332101
Linear Acceleration: 0, 0, 0
Magnetometer: 3333333333333332, 3333333333332312, 11

Euler Orientation: 11012, 3333333333333131, 3333333333332111
Linear Acceleration: 0, 0, 1
Magnetometer: 3333333333333332, 3333333333332311, 10

Euler Orientation: 11021, 3333333333333130, 3333333333332122
Linear Acceleration: 0, 0, 0
Magnetometer: 0, 3333333333332310, 0

Euler Orientation: 11020, 3333333333333123, 3333333333332132
Linear Acceleration: 0, 0, 1
Magnetometer: 1, 3333333333332303, 0

Euler Orientation: 11030, 3333333333333121, 3333333333332203
Linear Acceleration: 0, 0, 1
Magnetometer: 10, 3333333333332310, 3333333333333333

Euler Orientation: 11100, 3333333333333120, 3333333333332222
Linear Acceleration: 0, 0, 0
Magnetometer: 11, 3333333333332310, 3333333333333330

Euler Orientation: 11103, 3333333333333113, 3333333333332300
Linear Acceleration: 1, 0, 0
Magnetometer: 13, 3333333333332303, 3333333333333322

Euler Orientation: 11113, 3333333333333112, 3333333333332322
Linear Acceleration: 1, 0, 0
Magnetometer: 23, 3333333333332310, 3333333333333313

Euler Orientation: 11123, 3333333333333111, 3333333333333002
Linear Acceleration: 0, 0, 0
Magnetometer: 23, 3333333333332303, 3333333333333310

Euler Orientation: 11201, 3333333333333120, 3333333333333030
Linear Acceleration: 0, 0, 1
Magnetometer: 32, 3333333333332312, 3333333333333300

Euler Orientation: 11210, 3333333333333133, 3333333333333102
Linear Acceleration: 2, 3333333333333332, 3333333333333333
Magnetometer: 30, 3333333333332311, 3333333333333220

Euler Orientation: 2, 3333333333333210, 3333333333333122
Linear Acceleration: 1, 3333333333333333, 3333333333333333
Magnetometer: 32, 3333333333332313, 3333333333333210

Euler Orientation: 12, 3333333333333212, 3333333333333133
Linear Acceleration: 0, 0, 0
Magnetometer: 32, 3333333333332320, 3333333333333200

Euler Orientation: 20, 3333333333333230, 3333333333333200
Linear Acceleration: 2, 3333333333333333, 3333333333333332
Magnetometer: 30, 3333333333332321, 3333333333333131

Euler Orientation: 30, 3333333333333222, 3333333333333202
Linear Acceleration: 1, 0, 0
Magnetometer: 33, 3333333333332323, 3333333333333130

Euler Orientation: 31, 3333333333333232, 3333333333333202
Linear Acceleration: 1, 3333333333333333, 0
Magnetometer: 31, 3333333333332322, 3333333333333130

Euler Orientation: 32, 3333333333333301, 3333333333333211
Linear Acceleration: 0, 0, 0
Magnetometer: 31, 3333333333332322, 3333333333333121

Euler Orientation: 101, 3333333333333302, 3333333333333212
Linear Acceleration: 1, 0, 0
Magnetometer: 31, 3333333333332331, 3333333333333112

Euler Orientation: 103, 3333333333333312, 3333333333333220
Linear Acceleration: 0, 0, 1
Magnetometer: 23, 3333333333332331, 3333333333333111

Euler Orientation: 112, 0, 3333333333333233
Linear Acceleration: 3333333333333323, 11, 10
Magnetometer: 20, 3333333333332333, 3333333333333101

Euler Orientation: 121, 20, 3333333333333301
Linear Acceleration: 3333333333333332, 2, 1
Magnetometer: 0, 3333333333333002, 3333333333333030

Euler Orientation: 131, 100, 3333333333333302
Linear Acceleration: 0, 0, 0
Magnetometer: 3333333333333333, 3333333333333003, 3333333333333022

Euler Orientation: 131, 131, 3333333333333312
Linear Acceleration: 0, 0, 3333333333333333
Magnetometer: 3333333333333310, 3333333333333012, 3333333333333021

Euler Orientation: 133, 132, 3333333333333310
Linear Acceleration: 0, 1, 0
Magnetometer: 3333333333333232, 3333333333333020, 3333333333333021

Euler Orientation: 200, 213, 3333333333333312
Linear Acceleration: 0, 1, 0
Magnetometer: 3333333333333221, 3333333333333022, 3333333333333021

Euler Orientation: 200, 231, 3333333333333312
Linear Acceleration: 0, 0, 0
Magnetometer: 3333333333333202, 3333333333333023, 3333333333333023

Euler Orientation: 203, 230, 3333333333333311
Linear Acceleration: 1, 0, 0
Magnetometer: 3333333333333203, 3333333333333023, 3333333333333030

Euler Orientation: 220, 301, 3333333333333302
Linear Acceleration: 3333333333333333, 0, 0
Magnetometer: 3333333333333200, 3333333333333022, 3333333333333030

Euler Orientation: 213, 233, 3333333333333302
Linear Acceleration: 0, 0, 3333333333333333
Magnetometer: 3333333333333132, 3333333333333023, 3333333333333031

Euler Orientation: 221, 201, 3333333333333310
Linear Acceleration: 0, 0, 0
Magnetometer: 3333333333333213, 3333333333333023, 3333333333333023

Euler Orientation: 223, 120, 3333333333333312
Linear Acceleration: 3333333333333333, 0, 3333333333333333
Magnetometer: 3333333333333300, 3333333333333030, 3333333333333020

Euler Orientation: 231, 20, 3333333333333322
Linear Acceleration: 3333333333333333, 2, 0
Magnetometer: 3333333333333323, 3333333333333102, 3333333333333020

