m ali
xe10,,,N*4C

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,005955.021,,,,,0,0,,,M,,M,,*47

GPGLL,,,,,005955.021,V,N*75

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,005955.021,V,,,,,0.00,0.00,060180,,,N*4D

GPVTG,0.00$GPGGA,010028.021,,,,,0,0,,,M,,M,,*40

GPGLL,,,,,010028.021,V,N*72

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010028.021,V,,,,,0.00,0.00,060180,,,N*4A

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010029.021,,,,,0,0,,,M,,M,,*41

GPGLL,,,,,010029.021,V,N*73

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010029.021,V,,,,,0.00,0.00,060180,,,N*4B

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010030.021,,,,,0,0,,,M,,M,,*49

GPGLL,,,,,010030.021,V,N*7B

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010030.021,V,,,,,0.00,0.00,060180,,,N*43

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010031.021,,,,,0,0,,,M,,M,,*48

GPGLL,,,,,010031.021,V,N*7A

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010031.021,V,,,,,0.00,0.00,060180,,,N*42

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010032.021,,,,,0,0,,,M,,M,,*4B

GPGLL,,,,,010032.021,V,N*79

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010032.021,V,,,,,0.00,0.00,060180,,,N*41

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010033.021,,,,,0,0,,,M,,M,,*4A

GPGLL,,,,,010033.021,V,N*78

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010033.021,V,,,,,0.00,0.00,060180,,,N*40

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010034.021,,,,,0,0,,,M,,M,,*4D

GPGLL,,,,,010034.021,V,N*7F

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010034.021,V,,,,,0.00,0.00,060180,,,N*47

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010035.021,,,,,0,0,,,M,,M,,*4C

GPGLL,,,,,010035.021,V,N*7E

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010035.021,V,,,,,0.00,0.00,060180,,,N*46

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010036.021,,,,,0,0,,,M,,M,,*4F

GPGLL,,,,,010036.021,V,N*7D

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010036.021,V,,,,,0.00,0.00,060180,,,N*45

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010037.021,,,,,0,0,,,M,,M,,*4E

GPGLL,,,,,010037.021,V,N*7C

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010037.021,V,,,,,0.00,0.00,060180,,,N*44

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010038.021,,,,,0,0,,,M,,M,,*41

GPGLL,,,,,010038.021,V,N*73

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010038.021,V,,,,,0.00,0.00,060180,,,N*4B

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010039.021,,,,,0,0,,,M,,M,,*40

GPGLL,,,,,010039.021,V,N*72

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010039.021,V,,,,,0.00,0.00,060180,,,N*4A

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010040.021,,,,,0,0,,,M,,M,,*4E

GPGLL,,,,,010040.021,V,N*7C

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010040.021,V,,,,,0.00,0.00,060180,,,N*44

GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

GPGGA,010041.021,,,,,0,0,,,M,,M,,*4F

GPGLL,,,,,010041.021,V,N*7D

GPGSA,A,1,,,,,,,,,,,,,,,*1E

GPGSV,1,1,00*79

GPRMC,010041.021,V,,,,,0.00,0.00,060180,,,N*45

