image_name,true_size,estimated_size
./my_test/input\240\IMG_5193.jpeg,IMG_5193.jpeg,5.864833249065328
./my_test/input\240\IMG_5194.jpeg,IMG_5194.jpeg,5.899711862023387
./my_test/input\240\IMG_5195.jpeg,IMG_5195.jpeg,6.304756792935058
./my_test/input\240\IMG_5196.jpeg,IMG_5196.jpeg,5.964723002712387
./my_test/input\240\IMG_5197.jpeg,IMG_5197.jpeg,6.165603111846159
./my_test/input\240\IMG_5198.jpeg,IMG_5198.jpeg,5.723437680757759
./my_test/input\290\IMG_5146.jpeg,IMG_5146.jpeg,7.689930939998774
./my_test/input\290\IMG_5147.jpeg,IMG_5147.jpeg,2.140697247843738
./my_test/input\290\IMG_5148.jpeg,IMG_5148.jpeg,6.428685028905893
./my_test/input\360\IMG_5140.jpeg,IMG_5140.jpeg,8.372900473458955
./my_test/input\360\IMG_5141.jpeg,IMG_5141.jpeg,6.568485215272652
./my_test/input\360\IMG_5143.jpeg,IMG_5143.jpeg,8.145880297329121
./my_test/input\360\IMG_5144.jpeg,IMG_5144.jpeg,8.889755132468224
./my_test/input\360\IMG_5145.jpeg,IMG_5145.jpeg,8.16852499808926
